ID_Transaccion,ID_Socio,ID_Producto,Fecha,Monto_Final,Metodo_Pago
TRX-90045,SOC-2394,PROD-505,2026-04-16,480.0,Efectivo
TRX-90046,SOC-2250,PROD-512,2024-09-11,35.0,Transferencia SPEI
TRX-90047,SOC-2507,PROD-512,2024-02-04,35.0,Efectivo
TRX-90048,SOC-3068,PROD-511,2024-08-01,50.0,Tarjeta de Débito
TRX-90049,SOC-2662,PROD-503,2025-10-06,6999.0,Efectivo
TRX-90050,SOC-2519,PROD-508,2025-10-15,250.0,Tarjeta de Débito
TRX-90051,SOC-2107,PROD-511,2024-08-11,50.0,Tarjeta de Crédito
TRX-90052,SOC-3297,PROD-507,2024-11-28,623.13,Efectivo
TRX-90053,SOC-2811,PROD-504,2024-01-10,950.0,Transferencia SPEI
TRX-90054,SOC-3410,PROD-510,2024-06-07,75.0,Efectivo
TRX-90055,SOC-2510,PROD-503,2025-05-26,5999.57,Efectivo
TRX-90056,SOC-2123,PROD-506,2025-10-22,550.0,Efectivo
TRX-90057,SOC-2258,PROD-508,2024-08-26,250.0,Tarjeta de Débito
TRX-90058,SOC-3650,PROD-508,2026-01-20,250.0,Transferencia SPEI
TRX-90059,SOC-2734,PROD-512,2024-05-17,35.0,Efectivo
TRX-90060,SOC-2994,PROD-512,2025-03-24,35.0,Transferencia SPEI
TRX-90061,SOC-2389,PROD-510,2024-07-10,75.0,Tarjeta de Débito
TRX-90062,SOC-3500,PROD-508,2024-10-08,250.0,Tarjeta de Crédito
TRX-90063,SOC-2142,PROD-509,2024-06-07,400.0,Tarjeta de Débito
TRX-90064,SOC-3110,PROD-506,2025-04-09,469.86,Transferencia SPEI
TRX-90065,SOC-3503,PROD-503,2024-01-20,6999.0,Tarjeta de Débito
TRX-90066,SOC-3590,PROD-510,2024-09-01,75.0,Efectivo
TRX-90067,SOC-3349,PROD-509,2026-04-18,400.0,Transferencia SPEI
TRX-90068,SOC-3569,PROD-509,2024-06-06,400.0,Tarjeta de Débito
TRX-90069,SOC-2840,PROD-511,2024-11-25,43.58,Efectivo
TRX-90070,SOC-2090,PROD-503,2024-07-01,6999.0,Tarjeta de Crédito
TRX-90071,SOC-2220,PROD-508,2024-07-15,216.09,Transferencia SPEI
TRX-90072,SOC-3348,PROD-508,2025-06-22,250.0,Tarjeta de Débito
TRX-90073,SOC-2101,PROD-506,2024-08-14,550.0,Efectivo
TRX-90074,SOC-2027,PROD-504,2025-11-02,950.0,Efectivo
TRX-90075,SOC-2959,PROD-511,2024-03-03,50.0,Transferencia SPEI
TRX-90076,SOC-3684,PROD-506,2026-03-24,550.0,Tarjeta de Débito
TRX-90077,SOC-3084,PROD-501,2026-01-21,587.87,Tarjeta de Crédito
TRX-90078,SOC-3064,PROD-502,2024-04-13,1300.0,Transferencia SPEI
TRX-90079,SOC-2389,PROD-504,2025-06-22,950.0,Tarjeta de Crédito
TRX-90080,SOC-3144,PROD-512,2025-07-25,35.0,Efectivo
TRX-90081,SOC-3570,PROD-511,2025-08-13,50.0,Transferencia SPEI
TRX-90082,SOC-3439,PROD-511,2025-03-13,50.0,Tarjeta de Crédito
TRX-90083,SOC-3623,PROD-503,2025-07-17,6999.0,Tarjeta de Débito
TRX-90084,SOC-3347,PROD-503,2025-06-30,6999.0,Transferencia SPEI
TRX-90085,SOC-2722,PROD-506,2025-07-17,550.0,Tarjeta de Débito
TRX-90086,SOC-3731,PROD-506,2025-02-26,550.0,Transferencia SPEI
TRX-90087,SOC-3692,PROD-512,2024-11-27,35.0,Tarjeta de Crédito
TRX-90088,SOC-2769,PROD-509,2026-02-01,400.0,Transferencia SPEI
TRX-90089,SOC-2917,PROD-507,2024-01-01,750.0,Tarjeta de Débito
TRX-90090,SOC-3221,PROD-501,2025-06-14,530.69,Efectivo
TRX-90091,SOC-2616,PROD-504,2024-08-07,950.0,Efectivo
TRX-90092,SOC-3581,PROD-512,2026-04-22,35.0,Tarjeta de Crédito
TRX-90093,SOC-2194,PROD-501,2025-04-16,650.0,Tarjeta de Crédito
TRX-90094,SOC-2543,PROD-506,2025-08-19,550.0,Tarjeta de Débito
TRX-90095,SOC-3662,PROD-505,2024-04-04,480.0,Tarjeta de Crédito
TRX-90096,SOC-3504,PROD-502,2026-01-10,1300.0,Transferencia SPEI
TRX-90097,SOC-2355,PROD-508,2026-04-25,250.0,Efectivo
TRX-90098,SOC-3220,PROD-511,2024-11-03,41.44,Transferencia SPEI
TRX-90099,SOC-2161,PROD-501,2026-02-28,650.0,Transferencia SPEI
TRX-90100,SOC-2854,PROD-502,2026-02-27,1300.0,Efectivo
TRX-90101,SOC-3299,PROD-511,2025-01-26,43.57,Tarjeta de Débito
TRX-90102,SOC-3106,PROD-510,2024-06-02,75.0,Tarjeta de Crédito
TRX-90103,SOC-2314,PROD-501,2025-11-20,650.0,Transferencia SPEI
TRX-90104,SOC-2913,PROD-510,2025-08-12,75.0,Tarjeta de Crédito
TRX-90105,SOC-2885,PROD-505,2026-03-16,480.0,Tarjeta de Crédito
TRX-90106,SOC-2689,PROD-502,2025-05-02,1300.0,Efectivo
TRX-90107,SOC-3123,PROD-507,2024-09-25,656.04,Tarjeta de Crédito
TRX-90108,SOC-3561,PROD-503,2025-05-07,6999.0,Transferencia SPEI
TRX-90109,SOC-2810,PROD-511,2025-08-08,50.0,Tarjeta de Crédito
TRX-90110,SOC-2497,PROD-502,2024-09-29,1300.0,Tarjeta de Débito
TRX-90111,SOC-3403,PROD-510,2024-04-01,66.6,Tarjeta de Débito
TRX-90112,SOC-2714,PROD-504,2024-11-24,950.0,Efectivo
TRX-90113,SOC-3577,PROD-505,2024-06-22,480.0,Transferencia SPEI
TRX-90114,SOC-3277,PROD-503,2025-03-27,5790.09,Tarjeta de Crédito
TRX-90115,SOC-3404,PROD-506,2024-06-08,550.0,Efectivo
TRX-90116,SOC-2231,PROD-512,2024-02-25,35.0,Tarjeta de Crédito
TRX-90117,SOC-3780,PROD-505,2024-01-15,480.0,Efectivo
TRX-90118,SOC-2625,PROD-508,2025-04-27,229.66,Tarjeta de Crédito
TRX-90119,SOC-2418,PROD-509,2025-06-19,400.0,Transferencia SPEI
TRX-90120,SOC-3276,PROD-512,2024-05-24,35.0,Efectivo
TRX-90121,SOC-2772,PROD-510,2025-11-10,75.0,Tarjeta de Débito
TRX-90122,SOC-2349,PROD-501,2024-10-17,650.0,Tarjeta de Débito
TRX-90123,SOC-2109,PROD-508,2025-11-01,250.0,Efectivo
TRX-90124,SOC-2796,PROD-511,2024-10-04,50.0,Tarjeta de Débito
TRX-90125,SOC-3771,PROD-502,2024-01-20,1300.0,Transferencia SPEI
TRX-90126,SOC-2474,PROD-507,2025-06-04,750.0,Efectivo
TRX-90127,SOC-2647,PROD-508,2025-09-03,250.0,Tarjeta de Crédito
TRX-90128,SOC-2408,PROD-509,2025-04-13,400.0,Efectivo
TRX-90129,SOC-2082,PROD-504,2025-06-26,950.0,Transferencia SPEI
TRX-90130,SOC-2806,PROD-512,2024-06-09,29.66,Tarjeta de Débito
TRX-90131,SOC-3281,PROD-505,2024-08-29,480.0,Tarjeta de Débito
TRX-90132,SOC-3663,PROD-501,2025-10-02,650.0,Transferencia SPEI
TRX-90133,SOC-3669,PROD-501,2025-07-22,650.0,Tarjeta de Crédito
TRX-90134,SOC-2311,PROD-506,2025-02-06,550.0,Efectivo
TRX-90135,SOC-3495,PROD-507,2025-06-17,750.0,Tarjeta de Crédito
TRX-90136,SOC-2855,PROD-504,2025-08-09,950.0,Tarjeta de Débito
TRX-90137,SOC-3240,PROD-506,2025-04-04,550.0,Tarjeta de Crédito
TRX-90138,SOC-3337,PROD-503,2025-08-17,6999.0,Tarjeta de Crédito
TRX-90139,SOC-3767,PROD-503,2024-11-12,6999.0,Tarjeta de Crédito
TRX-90140,SOC-2881,PROD-503,2025-11-02,6999.0,Tarjeta de Crédito
TRX-90141,SOC-2651,PROD-502,2025-07-24,1300.0,Efectivo
TRX-90142,SOC-2378,PROD-506,2024-05-29,550.0,Tarjeta de Débito
TRX-90143,SOC-2848,PROD-507,2024-11-06,750.0,Tarjeta de Débito
TRX-90144,SOC-2312,PROD-504,2024-04-19,898.77,Tarjeta de Débito
TRX-90145,SOC-3241,PROD-510,2025-09-19,75.0,Tarjeta de Crédito
TRX-90146,SOC-2473,PROD-511,2024-01-27,50.0,Transferencia SPEI
TRX-90147,SOC-2275,PROD-509,2025-09-11,400.0,Tarjeta de Débito
TRX-90148,SOC-2377,PROD-507,2025-05-18,750.0,Tarjeta de Crédito
TRX-90149,SOC-2396,PROD-504,2024-02-03,950.0,Efectivo
TRX-90150,SOC-2553,PROD-507,2024-08-15,750.0,Tarjeta de Crédito
TRX-90151,SOC-3552,PROD-504,2024-03-08,950.0,Transferencia SPEI
TRX-90152,SOC-3776,PROD-510,2025-05-16,75.0,Transferencia SPEI
TRX-90153,SOC-2506,PROD-507,2025-02-18,750.0,Transferencia SPEI
TRX-90154,SOC-3475,PROD-506,2025-02-07,550.0,Efectivo
TRX-90155,SOC-3067,PROD-502,2025-04-07,1300.0,Efectivo
TRX-90156,SOC-3798,PROD-504,2025-06-15,950.0,Efectivo
TRX-90157,SOC-3143,PROD-507,2025-06-12,750.0,Efectivo
TRX-90158,SOC-2389,PROD-505,2025-03-26,480.0,Tarjeta de Débito
TRX-90159,SOC-3585,PROD-505,2025-04-17,480.0,Tarjeta de Débito
TRX-90160,SOC-3256,PROD-501,2025-12-07,650.0,Tarjeta de Crédito
TRX-90161,SOC-2950,PROD-511,2025-04-07,43.75,Tarjeta de Crédito
TRX-90162,SOC-3595,PROD-510,2025-12-13,75.0,Transferencia SPEI
TRX-90163,SOC-2847,PROD-506,2025-04-06,485.07,Tarjeta de Crédito
TRX-90164,SOC-2932,PROD-502,2024-09-13,1300.0,Tarjeta de Crédito
TRX-90165,SOC-3472,PROD-512,2024-05-06,29.54,Tarjeta de Débito
TRX-90166,SOC-2175,PROD-509,2025-12-25,400.0,Tarjeta de Crédito
TRX-90167,SOC-2776,PROD-509,2025-01-24,369.75,Tarjeta de Débito
TRX-90168,SOC-3159,PROD-511,2024-06-02,50.0,Tarjeta de Crédito
TRX-90169,SOC-2367,PROD-512,2024-02-22,35.0,Tarjeta de Débito
TRX-90170,SOC-3496,PROD-508,2024-10-22,250.0,Efectivo
TRX-90171,SOC-2270,PROD-504,2024-01-04,950.0,Tarjeta de Débito
TRX-90172,SOC-2026,PROD-508,2025-05-24,250.0,Efectivo
TRX-90173,SOC-3246,PROD-508,2024-08-31,250.0,Transferencia SPEI
TRX-90174,SOC-2930,PROD-507,2025-03-28,644.99,Tarjeta de Crédito
TRX-90175,SOC-3121,PROD-505,2025-09-26,480.0,Tarjeta de Crédito
TRX-90176,SOC-2101,PROD-503,2024-05-31,6282.63,Tarjeta de Crédito
TRX-90177,SOC-3749,PROD-501,2025-11-14,650.0,Tarjeta de Débito
TRX-90178,SOC-2679,PROD-502,2024-02-20,1041.22,Tarjeta de Crédito
TRX-90179,SOC-3377,PROD-505,2025-09-17,480.0,Tarjeta de Crédito
TRX-90180,SOC-2933,PROD-512,2025-08-15,35.0,Efectivo
TRX-90181,SOC-2191,PROD-505,2024-11-26,480.0,Transferencia SPEI
TRX-90182,SOC-3680,PROD-502,2026-02-15,1300.0,Efectivo
TRX-90183,SOC-2600,PROD-508,2024-05-17,205.27,Tarjeta de Débito
TRX-90184,SOC-3080,PROD-507,2025-06-21,750.0,Tarjeta de Crédito
TRX-90185,SOC-3254,PROD-501,2024-04-21,650.0,Efectivo
TRX-90186,SOC-2991,PROD-512,2025-12-06,35.0,Tarjeta de Débito
TRX-90187,SOC-2875,PROD-510,2024-11-20,75.0,Tarjeta de Débito
TRX-90188,SOC-2266,PROD-510,2025-07-30,75.0,Transferencia SPEI
TRX-90189,SOC-3009,PROD-503,2025-09-16,6999.0,Tarjeta de Débito
TRX-90190,SOC-2397,PROD-501,2024-05-01,556.52,Efectivo
TRX-90191,SOC-3511,PROD-504,2026-03-29,950.0,Transferencia SPEI
TRX-90192,SOC-2848,PROD-501,2024-12-07,650.0,Tarjeta de Crédito
TRX-90193,SOC-2024,PROD-511,2024-07-25,50.0,Tarjeta de Débito
TRX-90194,SOC-3619,PROD-502,2024-11-11,1300.0,Tarjeta de Débito
TRX-90195,SOC-3571,PROD-501,2024-04-26,650.0,Tarjeta de Débito
TRX-90196,SOC-2812,PROD-512,2025-08-05,35.0,Efectivo
TRX-90197,SOC-3705,PROD-503,2024-07-17,6999.0,Tarjeta de Débito
TRX-90198,SOC-3378,PROD-508,2025-04-30,250.0,Tarjeta de Crédito
TRX-90199,SOC-2987,PROD-503,2025-10-04,6999.0,Tarjeta de Débito
TRX-90200,SOC-2948,PROD-507,2026-01-30,653.88,Tarjeta de Débito
TRX-90201,SOC-3138,PROD-509,2024-01-20,400.0,Tarjeta de Débito
TRX-90202,SOC-3638,PROD-506,2024-03-08,550.0,Tarjeta de Débito
TRX-90203,SOC-3722,PROD-501,2024-12-13,650.0,Tarjeta de Crédito
TRX-90204,SOC-3170,PROD-510,2025-02-02,75.0,Efectivo
TRX-90205,SOC-3771,PROD-505,2025-12-23,480.0,Efectivo
TRX-90206,SOC-2557,PROD-507,2024-03-29,750.0,Tarjeta de Crédito
TRX-90207,SOC-2762,PROD-508,2026-04-29,250.0,Tarjeta de Crédito
TRX-90208,SOC-3076,PROD-505,2024-06-28,399.48,Tarjeta de Crédito
TRX-90209,SOC-2190,PROD-508,2025-06-02,219.4,Tarjeta de Crédito
TRX-90210,SOC-2390,PROD-506,2025-05-10,550.0,Tarjeta de Débito
TRX-90211,SOC-3589,PROD-506,2024-05-26,550.0,Efectivo
TRX-90212,SOC-3684,PROD-509,2025-11-23,400.0,Tarjeta de Crédito
TRX-90213,SOC-3484,PROD-501,2025-04-15,650.0,Efectivo
TRX-90214,SOC-2009,PROD-505,2024-02-15,480.0,Efectivo
TRX-90215,SOC-2683,PROD-508,2024-02-17,208.77,Tarjeta de Débito
TRX-90216,SOC-2047,PROD-510,2026-02-15,75.0,Tarjeta de Crédito
TRX-90217,SOC-2658,PROD-504,2024-07-16,950.0,Tarjeta de Débito
TRX-90218,SOC-3583,PROD-508,2025-11-18,231.9,Tarjeta de Débito
TRX-90219,SOC-2235,PROD-501,2025-09-29,650.0,Efectivo
TRX-90220,SOC-2424,PROD-509,2024-12-24,400.0,Tarjeta de Débito
TRX-90221,SOC-2290,PROD-512,2026-04-03,35.0,Tarjeta de Crédito
TRX-90222,SOC-2351,PROD-502,2024-11-14,1300.0,Tarjeta de Débito
TRX-90223,SOC-3108,PROD-508,2024-02-21,219.85,Efectivo
TRX-90224,SOC-2217,PROD-507,2024-02-25,668.41,Transferencia SPEI
TRX-90225,SOC-3263,PROD-506,2024-11-15,550.0,Tarjeta de Crédito
TRX-90226,SOC-3461,PROD-511,2026-04-08,50.0,Transferencia SPEI
TRX-90227,SOC-3163,PROD-503,2024-04-05,6999.0,Transferencia SPEI
TRX-90228,SOC-2200,PROD-508,2024-11-13,250.0,Transferencia SPEI
TRX-90229,SOC-2964,PROD-504,2024-08-17,774.86,Tarjeta de Débito
TRX-90230,SOC-2745,PROD-507,2024-07-06,750.0,Tarjeta de Débito
TRX-90231,SOC-3616,PROD-506,2025-04-09,550.0,Efectivo
TRX-90232,SOC-2974,PROD-502,2024-12-25,1300.0,Tarjeta de Crédito
TRX-90233,SOC-2579,PROD-506,2025-09-10,550.0,Efectivo
TRX-90234,SOC-2831,PROD-512,2026-03-26,30.33,Efectivo
TRX-90235,SOC-3623,PROD-505,2025-06-29,480.0,Transferencia SPEI
TRX-90236,SOC-2489,PROD-510,2024-09-06,75.0,Transferencia SPEI
TRX-90237,SOC-2787,PROD-502,2024-12-14,1300.0,Transferencia SPEI
TRX-90238,SOC-3607,PROD-507,2025-08-03,750.0,Tarjeta de Crédito
TRX-90239,SOC-2355,PROD-511,2025-11-16,40.519999999999996,Transferencia SPEI
TRX-90240,SOC-2235,PROD-510,2025-09-02,75.0,Efectivo
TRX-90241,SOC-3684,PROD-508,2024-06-29,250.0,Transferencia SPEI
TRX-90242,SOC-2143,PROD-510,2024-04-21,75.0,Transferencia SPEI
TRX-90243,SOC-2671,PROD-508,2025-10-22,250.0,Efectivo
TRX-90244,SOC-2446,PROD-503,2025-08-17,6999.0,Efectivo
TRX-90245,SOC-3551,PROD-503,2025-11-07,6091.3099999999995,Transferencia SPEI
TRX-90246,SOC-3261,PROD-510,2025-04-02,75.0,Tarjeta de Débito
TRX-90247,SOC-2614,PROD-510,2026-03-24,75.0,Tarjeta de Débito
TRX-90248,SOC-2891,PROD-512,2024-12-18,35.0,Efectivo
TRX-90249,SOC-3253,PROD-509,2025-02-17,400.0,Tarjeta de Débito
TRX-90250,SOC-2128,PROD-506,2025-07-16,550.0,Efectivo
TRX-90251,SOC-3441,PROD-509,2026-04-20,400.0,Efectivo
TRX-90252,SOC-3764,PROD-505,2024-02-01,480.0,Transferencia SPEI
TRX-90253,SOC-3281,PROD-506,2025-12-29,550.0,Transferencia SPEI
TRX-90254,SOC-2892,PROD-509,2024-08-04,400.0,Transferencia SPEI
TRX-90255,SOC-2285,PROD-504,2025-07-22,950.0,Tarjeta de Débito
TRX-90256,SOC-3721,PROD-507,2024-06-06,750.0,Tarjeta de Crédito
TRX-90257,SOC-2276,PROD-501,2024-03-14,650.0,Tarjeta de Crédito
TRX-90258,SOC-3478,PROD-508,2025-11-04,250.0,Tarjeta de Crédito
TRX-90259,SOC-2174,PROD-503,2025-10-19,6999.0,Transferencia SPEI
TRX-90260,SOC-3616,PROD-512,2025-09-10,35.0,Tarjeta de Crédito
TRX-90261,SOC-2931,PROD-509,2025-03-10,400.0,Transferencia SPEI
TRX-90262,SOC-2788,PROD-506,2024-08-19,550.0,Efectivo
TRX-90263,SOC-3184,PROD-508,2026-01-18,250.0,Tarjeta de Débito
TRX-90264,SOC-2842,PROD-509,2025-08-13,400.0,Efectivo
TRX-90265,SOC-3164,PROD-508,2025-12-22,250.0,Transferencia SPEI
TRX-90266,SOC-3415,PROD-502,2024-05-25,1300.0,Tarjeta de Débito
TRX-90267,SOC-2953,PROD-509,2024-03-21,400.0,Efectivo
TRX-90268,SOC-2503,PROD-508,2025-10-07,250.0,Efectivo
TRX-90269,SOC-3401,PROD-511,2025-07-06,50.0,Tarjeta de Débito
TRX-90270,SOC-3256,PROD-501,2024-12-17,650.0,Efectivo
TRX-90271,SOC-2961,PROD-508,2025-06-08,250.0,Tarjeta de Débito
TRX-90272,SOC-2863,PROD-506,2026-03-28,550.0,Tarjeta de Crédito
TRX-90273,SOC-2073,PROD-512,2025-09-03,35.0,Tarjeta de Débito
TRX-90274,SOC-2126,PROD-511,2025-04-29,50.0,Efectivo
TRX-90275,SOC-3345,PROD-505,2026-04-08,480.0,Efectivo
TRX-90276,SOC-2588,PROD-508,2024-03-25,234.62,Tarjeta de Débito
TRX-90277,SOC-2517,PROD-503,2025-09-22,6999.0,Tarjeta de Débito
TRX-90278,SOC-2030,PROD-512,2024-04-24,35.0,Tarjeta de Crédito
TRX-90279,SOC-3350,PROD-508,2025-01-13,250.0,Tarjeta de Débito
TRX-90280,SOC-3603,PROD-512,2024-08-29,35.0,Efectivo
TRX-90281,SOC-2703,PROD-502,2024-05-28,1300.0,Tarjeta de Crédito
TRX-90282,SOC-3716,PROD-508,2026-02-09,250.0,Transferencia SPEI
TRX-90283,SOC-2488,PROD-511,2025-03-26,50.0,Tarjeta de Crédito
TRX-90284,SOC-2432,PROD-510,2026-01-21,75.0,Efectivo
TRX-90285,SOC-3316,PROD-505,2026-02-12,480.0,Efectivo
TRX-90286,SOC-2344,PROD-508,2025-02-12,250.0,Transferencia SPEI
TRX-90287,SOC-3529,PROD-509,2024-08-27,400.0,Transferencia SPEI
TRX-90288,SOC-2972,PROD-505,2024-05-28,480.0,Transferencia SPEI
TRX-90289,SOC-2025,PROD-505,2026-03-27,480.0,Tarjeta de Débito
TRX-90290,SOC-3086,PROD-511,2024-02-12,43.519999999999996,Tarjeta de Débito
TRX-90291,SOC-3730,PROD-507,2025-09-17,750.0,Tarjeta de Débito
TRX-90292,SOC-2687,PROD-505,2024-09-30,480.0,Tarjeta de Débito
TRX-90293,SOC-3341,PROD-510,2025-02-04,75.0,Tarjeta de Crédito
TRX-90294,SOC-3504,PROD-511,2025-08-25,50.0,Tarjeta de Débito
TRX-90295,SOC-3388,PROD-512,2024-07-03,35.0,Efectivo
TRX-90296,SOC-3378,PROD-501,2024-03-10,607.97,Efectivo
TRX-90297,SOC-3404,PROD-508,2024-12-25,250.0,Tarjeta de Débito
TRX-90298,SOC-2516,PROD-504,2024-02-04,889.4,Tarjeta de Crédito
TRX-90299,SOC-3228,PROD-511,2024-05-04,50.0,Efectivo
TRX-90300,SOC-2177,PROD-510,2024-05-13,75.0,Tarjeta de Crédito
TRX-90301,SOC-2228,PROD-512,2024-07-07,35.0,Transferencia SPEI
TRX-90302,SOC-3353,PROD-502,2025-10-16,1300.0,Tarjeta de Débito
TRX-90303,SOC-3576,PROD-507,2025-12-09,750.0,Tarjeta de Débito
TRX-90304,SOC-2528,PROD-503,2026-03-10,5833.21,Transferencia SPEI
TRX-90305,SOC-2796,PROD-506,2024-03-02,550.0,Tarjeta de Débito
TRX-90306,SOC-2365,PROD-508,2024-03-12,250.0,Tarjeta de Crédito
TRX-90307,SOC-3250,PROD-507,2024-07-01,750.0,Efectivo
TRX-90308,SOC-2295,PROD-509,2026-02-26,400.0,Efectivo
TRX-90309,SOC-2905,PROD-512,2024-09-22,32.87,Tarjeta de Débito
TRX-90310,SOC-3592,PROD-508,2024-01-20,250.0,Tarjeta de Crédito
TRX-90311,SOC-3338,PROD-511,2024-01-01,50.0,Transferencia SPEI
TRX-90312,SOC-2546,PROD-503,2025-12-17,6999.0,Transferencia SPEI
TRX-90313,SOC-3177,PROD-501,2025-06-11,650.0,Transferencia SPEI
TRX-90314,SOC-2980,PROD-507,2025-02-17,750.0,Efectivo
TRX-90315,SOC-3107,PROD-504,2024-01-04,950.0,Transferencia SPEI
TRX-90316,SOC-2249,PROD-510,2025-07-02,75.0,Tarjeta de Débito
TRX-90317,SOC-2683,PROD-511,2024-11-06,50.0,Efectivo
TRX-90318,SOC-2749,PROD-509,2024-12-14,352.42,Tarjeta de Débito
TRX-90319,SOC-3327,PROD-504,2024-06-29,950.0,Transferencia SPEI
TRX-90320,SOC-3354,PROD-504,2024-11-02,950.0,Efectivo
TRX-90321,SOC-3292,PROD-512,2025-01-02,35.0,Transferencia SPEI
TRX-90322,SOC-3506,PROD-504,2024-05-23,898.89,Tarjeta de Crédito
TRX-90323,SOC-3002,PROD-507,2024-03-05,750.0,Tarjeta de Débito
TRX-90324,SOC-3024,PROD-509,2026-04-11,400.0,Efectivo
TRX-90325,SOC-2076,PROD-506,2024-02-27,550.0,Efectivo
TRX-90326,SOC-2831,PROD-502,2024-08-04,1300.0,Transferencia SPEI
TRX-90327,SOC-3389,PROD-509,2024-06-01,400.0,Tarjeta de Crédito
TRX-90328,SOC-2148,PROD-501,2026-01-23,553.75,Transferencia SPEI
TRX-90329,SOC-3267,PROD-501,2024-09-05,650.0,Tarjeta de Crédito
TRX-90330,SOC-2030,PROD-503,2025-10-09,6326.39,Efectivo
TRX-90331,SOC-2935,PROD-510,2024-06-23,75.0,Efectivo
TRX-90332,SOC-3675,PROD-502,2024-04-26,1300.0,Tarjeta de Crédito
TRX-90333,SOC-2130,PROD-504,2025-03-12,950.0,Transferencia SPEI
TRX-90334,SOC-2665,PROD-502,2025-12-01,1300.0,Tarjeta de Crédito
TRX-90335,SOC-2659,PROD-504,2026-02-21,877.78,Efectivo
TRX-90336,SOC-2248,PROD-505,2024-05-24,480.0,Tarjeta de Crédito
TRX-90337,SOC-3427,PROD-506,2025-07-20,550.0,Tarjeta de Crédito
TRX-90338,SOC-3192,PROD-501,2024-05-16,534.88,Transferencia SPEI
TRX-90339,SOC-3593,PROD-503,2024-01-17,6999.0,Efectivo
