ID_Socio,Edad,Genero,Ciudad,Fecha_Inscripcion,Estatus
SOC-2177,67,Masculino,Puebla,2024-07-31,Activo
SOC-2178,58,Otro,Guadalajara,2025-01-02,Activo
SOC-2179,62,Femenino,Puebla,2024-07-23,Cancelado
SOC-2180,33,Masculino,Mérida,2024-12-18,Activo
SOC-2181,18,Masculino,Tijuana,2024-08-05,Activo
SOC-2182,32,Masculino,Tijuana,2025-05-05,Activo
SOC-2183,62,Otro,Puebla,2024-01-26,Cancelado
SOC-2184,53,Masculino,Tijuana,2024-03-03,Inactivo
SOC-2185,47,Masculino,Tijuana,2024-08-25,Activo
SOC-2186,60,Otro,Querétaro,2024-10-31,Activo
SOC-2187,38,Femenino,Querétaro,2025-02-21,Inactivo
SOC-2188,64,Otro,Puebla,2025-03-01,Activo
SOC-2189,53,Femenino,Guadalajara,2025-01-15,Activo
SOC-2190,48,Femenino,Monterrey,2025-01-19,Activo
SOC-2191,33,Otro,Monterrey,2025-01-27,Activo
SOC-2192,67,Otro,Puebla,2024-11-16,Inactivo
SOC-2193,33,Femenino,Puebla,2024-02-09,Cancelado
SOC-2194,63,Femenino,Guadalajara,2024-05-19,Activo
SOC-2195,39,Femenino,Querétaro,2024-02-11,Activo
SOC-2196,26,Masculino,Guadalajara,2024-07-15,Activo
SOC-2197,62,Masculino,Mérida,2024-04-19,Activo
SOC-2198,22,Femenino,Puebla,2024-06-18,Inactivo
SOC-2199,52,Femenino,Puebla,2024-02-01,Inactivo
SOC-2200,31,Femenino,Puebla,2025-04-08,Inactivo
SOC-2201,67,Otro,Mérida,2024-01-11,Activo
SOC-2202,66,Otro,Puebla,2024-09-01,Activo
SOC-2203,18,Femenino,Monterrey,2025-01-20,Activo
SOC-2204,42,Femenino,Querétaro,2025-01-17,Inactivo
SOC-2205,65,Otro,Tijuana,2024-11-04,Activo
SOC-2206,32,Femenino,Guadalajara,2024-05-19,Activo
SOC-2207,45,Femenino,CDMX,2024-07-18,Activo
SOC-2208,39,Otro,Mérida,2025-02-12,Activo
SOC-2209,43,Otro,Guadalajara,2025-03-06,Activo
SOC-2210,47,Masculino,Querétaro,2024-09-30,Activo
SOC-2211,19,Femenino,Querétaro,2024-10-15,Activo
SOC-2212,60,Masculino,CDMX,2024-11-25,Activo
SOC-2213,45,Masculino,Tijuana,2024-08-24,Activo
SOC-2214,29,Masculino,Monterrey,2024-07-13,Activo
SOC-2215,38,Masculino,Puebla,2024-06-16,Activo
SOC-2216,39,Femenino,Monterrey,2025-01-20,Activo
SOC-2217,44,Femenino,Tijuana,2024-02-11,Activo
SOC-2218,48,Masculino,Mérida,2024-10-03,Activo
SOC-2219,21,Femenino,Guadalajara,2024-11-28,Activo
SOC-2220,22,Otro,CDMX,2025-01-21,Inactivo
SOC-2221,19,Masculino,Guadalajara,2025-03-05,Activo
SOC-2222,19,Otro,Guadalajara,2024-05-02,Activo
SOC-2223,26,Femenino,Mérida,2024-02-28,Activo
SOC-2224,54,Masculino,Puebla,2024-12-24,Activo
SOC-2225,34,Femenino,Guadalajara,2024-11-06,Activo
SOC-2226,56,Otro,Mérida,2024-02-28,Activo
SOC-2227,67,Masculino,Monterrey,2024-02-25,Cancelado
SOC-2228,55,Masculino,Monterrey,2024-10-21,Activo
SOC-2229,61,Femenino,Puebla,2025-04-27,Inactivo
SOC-2230,63,Masculino,CDMX,2024-10-30,Activo
SOC-2231,62,Otro,Guadalajara,2024-02-22,Inactivo
SOC-2232,62,Femenino,Tijuana,2024-12-16,Activo
SOC-2233,56,Masculino,Tijuana,2024-10-16,Activo
SOC-2234,68,Masculino,Monterrey,2024-09-29,Activo
SOC-2235,45,Otro,Monterrey,2024-02-05,Activo
SOC-2236,50,Otro,Monterrey,2024-01-07,Activo
SOC-2237,44,Femenino,CDMX,2024-08-09,Activo
SOC-2238,41,Otro,Tijuana,2024-08-23,Activo
SOC-2239,63,Masculino,Puebla,2024-03-31,Activo
SOC-2240,64,Otro,Mérida,2024-05-18,Activo
SOC-2241,57,Otro,Tijuana,2024-09-04,Cancelado
SOC-2242,47,Femenino,Tijuana,2025-01-09,Cancelado
SOC-2243,55,Femenino,Monterrey,2025-03-12,Cancelado
SOC-2244,33,Masculino,Monterrey,2025-03-27,Activo
SOC-2245,46,Masculino,Tijuana,2024-08-25,Activo
SOC-2246,54,Otro,Mérida,2024-07-13,Cancelado
SOC-2247,39,Masculino,Puebla,2025-03-11,Activo
SOC-2248,38,Masculino,Puebla,2024-04-18,Cancelado
SOC-2249,40,Femenino,Monterrey,2024-05-23,Cancelado
SOC-2250,56,Otro,Monterrey,2024-10-11,Inactivo
SOC-2251,18,Otro,Guadalajara,2024-02-13,Activo
SOC-2252,33,Otro,Puebla,2024-09-07,Activo
SOC-2253,53,Masculino,Mérida,2024-08-31,Inactivo
SOC-2254,59,Otro,Puebla,2024-08-17,Activo
SOC-2255,68,Masculino,CDMX,2024-05-30,Activo
SOC-2256,32,Femenino,Mérida,2024-05-04,Activo
SOC-2257,37,Otro,Querétaro,2024-07-07,Cancelado
SOC-2258,48,Otro,Querétaro,2024-06-25,Activo
SOC-2259,45,Otro,Querétaro,2024-06-18,Activo
SOC-2260,40,Otro,Puebla,2024-05-18,Activo
SOC-2261,37,Femenino,Guadalajara,2024-03-02,Activo
SOC-2262,64,Masculino,Monterrey,2024-03-02,Cancelado
SOC-2263,65,Otro,Tijuana,2024-12-19,Activo
SOC-2264,29,Masculino,Guadalajara,2025-01-13,Activo
SOC-2265,48,Femenino,Mérida,2024-10-28,Inactivo
SOC-2266,66,Otro,Querétaro,2024-05-24,Activo
SOC-2267,24,Masculino,Monterrey,2024-04-26,Activo
SOC-2268,41,Masculino,Monterrey,2024-01-08,Activo
SOC-2269,63,Otro,Guadalajara,2024-05-20,Activo
SOC-2270,20,Masculino,Querétaro,2024-05-29,Activo
SOC-2271,62,Masculino,Mérida,2025-03-20,Inactivo
SOC-2272,66,Femenino,CDMX,2025-03-22,Inactivo
SOC-2273,18,Otro,Monterrey,2024-08-28,Inactivo
SOC-2274,48,Femenino,Monterrey,2024-04-04,Cancelado
SOC-2275,21,Femenino,Tijuana,2024-09-01,Activo
SOC-2276,25,Masculino,Puebla,2024-09-08,Activo
SOC-2277,22,Otro,Mérida,2024-12-17,Inactivo
SOC-2278,21,Masculino,Guadalajara,2025-02-19,Activo
SOC-2279,54,Femenino,CDMX,2024-05-07,Activo
SOC-2280,25,Otro,Tijuana,2024-08-01,Inactivo
SOC-2281,56,Otro,Tijuana,2024-11-12,Inactivo
SOC-2282,32,Otro,Puebla,2024-08-18,Activo
SOC-2283,46,Femenino,Tijuana,2024-10-28,Activo
SOC-2284,45,Femenino,Querétaro,2024-11-13,Activo
SOC-2285,21,Otro,Mérida,2024-02-20,Activo
SOC-2286,66,Masculino,Mérida,2024-04-18,Activo
SOC-2287,34,Otro,CDMX,2024-03-21,Activo
SOC-2288,33,Masculino,Querétaro,2024-02-08,Activo
SOC-2289,28,Masculino,Puebla,2024-08-18,Activo
SOC-2290,62,Otro,Puebla,2024-05-29,Activo
SOC-2291,20,Masculino,Monterrey,2024-12-27,Activo
SOC-2292,36,Otro,Tijuana,2024-08-20,Activo
SOC-2293,22,Otro,Guadalajara,2025-04-18,Inactivo
SOC-2294,34,Otro,Querétaro,2024-12-04,Activo
SOC-2295,69,Masculino,Puebla,2024-02-28,Activo
SOC-2296,52,Masculino,Mérida,2024-03-17,Activo
SOC-2297,35,Masculino,CDMX,2024-01-31,Inactivo
SOC-2298,28,Femenino,Querétaro,2025-01-18,Activo
SOC-2299,70,Otro,Monterrey,2024-08-12,Activo
SOC-2300,25,Femenino,Mérida,2024-06-04,Activo
SOC-2301,62,Femenino,Monterrey,2024-09-13,Activo
SOC-2302,52,Femenino,Puebla,2024-02-11,Activo
SOC-2303,56,Masculino,Puebla,2025-01-11,Activo
SOC-2304,38,Otro,Monterrey,2024-01-14,Activo
SOC-2305,23,Masculino,Mérida,2025-03-04,Activo
SOC-2306,54,Otro,CDMX,2025-01-26,Cancelado
SOC-2307,61,Femenino,Querétaro,2024-01-21,Activo
SOC-2308,66,Masculino,Puebla,2024-09-22,Activo
SOC-2309,59,Femenino,Monterrey,2024-04-02,Inactivo
SOC-2310,55,Femenino,Mérida,2025-02-20,Activo
SOC-2311,49,Masculino,Puebla,2024-06-27,Activo
SOC-2312,44,Femenino,Monterrey,2024-12-09,Activo
SOC-2313,24,Masculino,Monterrey,2024-07-29,Activo
SOC-2314,62,Femenino,Monterrey,2024-12-05,Cancelado
SOC-2315,43,Otro,CDMX,2024-08-20,Inactivo
SOC-2316,23,Femenino,Monterrey,2024-06-14,Activo
SOC-2317,25,Femenino,Tijuana,2024-09-20,Activo
SOC-2318,70,Masculino,Mérida,2025-03-21,Activo
SOC-2319,52,Femenino,Puebla,2024-01-28,Activo
SOC-2320,30,Otro,Monterrey,2024-11-14,Activo
SOC-2321,66,Femenino,Mérida,2024-08-14,Activo
SOC-2322,66,Masculino,Guadalajara,2024-05-16,Activo
SOC-2323,53,Masculino,Monterrey,2024-08-12,Activo
SOC-2324,62,Femenino,CDMX,2024-01-15,Activo
SOC-2325,58,Otro,Tijuana,2024-05-02,Cancelado
SOC-2326,63,Masculino,Monterrey,2024-10-09,Activo
SOC-2327,18,Otro,Puebla,2024-02-17,Activo
SOC-2328,32,Masculino,Puebla,2025-04-29,Activo
SOC-2329,25,Otro,Tijuana,2024-03-19,Activo
SOC-2330,49,Otro,Monterrey,2024-09-17,Activo
SOC-2331,63,Femenino,Puebla,2025-03-03,Activo
SOC-2332,48,Femenino,Guadalajara,2024-08-21,Inactivo
SOC-2333,53,Masculino,Puebla,2024-04-07,Activo
SOC-2334,56,Otro,Mérida,2025-03-26,Activo
SOC-2335,26,Masculino,Monterrey,2025-01-30,Activo
SOC-2336,68,Femenino,Monterrey,2025-04-23,Activo
SOC-2337,68,Otro,Monterrey,2025-02-24,Inactivo
SOC-2338,18,Femenino,Mérida,2024-06-01,Activo
SOC-2339,55,Otro,Mérida,2024-09-07,Activo
SOC-2340,27,Femenino,Querétaro,2024-09-04,Activo
SOC-2341,40,Femenino,Querétaro,2025-01-25,Activo
SOC-2342,52,Femenino,Puebla,2025-04-22,Activo
SOC-2343,38,Masculino,Mérida,2024-05-02,Activo
SOC-2344,54,Femenino,Guadalajara,2025-03-14,Activo
SOC-2345,67,Femenino,CDMX,2024-06-11,Activo
SOC-2346,65,Femenino,Mérida,2025-04-12,Activo
SOC-2347,69,Femenino,Puebla,2024-12-05,Activo
SOC-2348,68,Otro,Guadalajara,2024-09-10,Activo
SOC-2349,20,Masculino,Querétaro,2025-05-09,Activo
SOC-2350,55,Femenino,Tijuana,2024-02-21,Activo
SOC-2351,46,Masculino,Querétaro,2025-04-11,Activo
SOC-2352,47,Masculino,Mérida,2024-03-14,Inactivo
SOC-2353,44,Otro,Guadalajara,2024-02-08,Activo
SOC-2354,48,Femenino,Monterrey,2024-11-15,Activo
SOC-2355,62,Femenino,Mérida,2024-02-11,Activo
SOC-2356,39,Otro,Tijuana,2024-09-30,Activo
SOC-2357,42,Femenino,Mérida,2025-01-02,Activo
SOC-2358,66,Femenino,Tijuana,2024-10-04,Activo
SOC-2359,20,Otro,CDMX,2024-04-30,Cancelado
SOC-2360,58,Otro,Monterrey,2024-04-26,Activo
SOC-2361,65,Masculino,Puebla,2025-05-15,Activo
SOC-2362,24,Otro,Mérida,2025-03-22,Activo
SOC-2363,24,Femenino,Guadalajara,2024-12-21,Activo
SOC-2364,37,Masculino,CDMX,2024-06-15,Activo
SOC-2365,68,Masculino,Monterrey,2024-07-02,Cancelado
SOC-2366,41,Femenino,Guadalajara,2024-05-05,Activo
SOC-2367,51,Femenino,Querétaro,2024-12-15,Cancelado
SOC-2368,68,Masculino,Guadalajara,2024-03-30,Cancelado
SOC-2369,23,Otro,Tijuana,2024-07-14,Activo
SOC-2370,57,Otro,Guadalajara,2024-09-11,Activo
SOC-2371,55,Masculino,Guadalajara,2024-08-24,Activo
SOC-2372,58,Femenino,Puebla,2024-05-10,Activo
SOC-2373,60,Masculino,Tijuana,2024-08-26,Activo
SOC-2374,36,Otro,Querétaro,2024-03-21,Activo
SOC-2375,22,Femenino,Monterrey,2024-10-27,Activo
SOC-2376,37,Otro,Puebla,2024-12-19,Activo
SOC-2377,34,Femenino,Tijuana,2024-06-03,Inactivo
SOC-2378,30,Femenino,Tijuana,2024-09-04,Activo
SOC-2379,24,Masculino,Puebla,2024-10-19,Inactivo
SOC-2380,40,Otro,Monterrey,2024-12-24,Activo
SOC-2381,36,Masculino,Tijuana,2024-12-03,Activo
SOC-2382,43,Femenino,CDMX,2024-10-16,Activo
SOC-2383,61,Otro,CDMX,2025-04-11,Activo
SOC-2384,56,Otro,Puebla,2025-03-02,Inactivo
SOC-2385,36,Masculino,Querétaro,2025-02-14,Activo
SOC-2386,40,Masculino,Mérida,2024-04-07,Inactivo
SOC-2387,57,Femenino,Mérida,2025-01-21,Activo
SOC-2388,64,Otro,Mérida,2025-03-05,Activo
SOC-2389,26,Otro,CDMX,2025-04-07,Inactivo
SOC-2390,58,Otro,CDMX,2024-06-07,Inactivo
SOC-2391,68,Femenino,CDMX,2024-10-23,Cancelado
SOC-2392,41,Otro,Guadalajara,2024-02-16,Activo
SOC-2393,36,Femenino,Mérida,2024-07-31,Activo
SOC-2394,29,Masculino,Guadalajara,2025-02-06,Inactivo
SOC-2395,52,Femenino,Querétaro,2024-09-13,Activo
SOC-2396,35,Masculino,Monterrey,2025-04-12,Cancelado
SOC-2397,70,Femenino,Tijuana,2024-05-31,Inactivo
SOC-2398,65,Femenino,Tijuana,2024-02-28,Activo
SOC-2399,47,Masculino,Guadalajara,2025-01-21,Inactivo
SOC-2400,32,Otro,Mérida,2024-12-11,Inactivo
SOC-2401,43,Otro,Monterrey,2024-02-16,Activo
SOC-2402,68,Femenino,CDMX,2024-05-15,Cancelado
SOC-2403,52,Masculino,Puebla,2024-07-07,Activo
SOC-2404,61,Otro,Mérida,2024-05-14,Inactivo
SOC-2405,55,Femenino,Tijuana,2024-11-22,Activo
SOC-2406,41,Masculino,Mérida,2024-04-29,Inactivo
SOC-2407,48,Masculino,Querétaro,2025-03-28,Activo
SOC-2408,53,Femenino,Querétaro,2024-04-23,Activo
SOC-2409,59,Masculino,Mérida,2025-02-25,Cancelado
SOC-2410,47,Otro,Monterrey,2024-11-28,Activo
SOC-2411,44,Masculino,Guadalajara,2024-01-24,Activo
SOC-2412,20,Femenino,Puebla,2024-02-29,Cancelado
SOC-2413,24,Masculino,Querétaro,2024-03-10,Cancelado
SOC-2414,42,Femenino,Monterrey,2024-12-09,Activo
SOC-2415,65,Otro,Querétaro,2024-08-02,Activo
SOC-2416,55,Otro,Mérida,2024-03-20,Activo
SOC-2417,44,Otro,CDMX,2025-03-02,Activo
SOC-2418,49,Otro,Puebla,2025-04-25,Activo
SOC-2419,35,Masculino,Mérida,2024-07-08,Activo
SOC-2420,31,Femenino,Puebla,2025-05-01,Inactivo
SOC-2421,33,Femenino,CDMX,2024-12-17,Inactivo
SOC-2422,41,Otro,Mérida,2024-07-02,Inactivo
SOC-2423,21,Femenino,Monterrey,2024-04-07,Activo
SOC-2424,25,Femenino,CDMX,2024-12-05,Activo
SOC-2425,31,Otro,Mérida,2024-11-01,Activo
SOC-2426,19,Masculino,Tijuana,2024-06-19,Activo
SOC-2427,33,Masculino,Tijuana,2024-10-16,Activo
SOC-2428,31,Masculino,Tijuana,2025-01-26,Inactivo
SOC-2429,53,Masculino,Querétaro,2024-04-20,Activo
SOC-2430,70,Masculino,Monterrey,2025-01-31,Activo
SOC-2431,27,Otro,CDMX,2024-05-21,Activo
SOC-2432,27,Masculino,Querétaro,2024-05-08,Inactivo
SOC-2433,69,Masculino,CDMX,2024-12-04,Activo
SOC-2434,19,Masculino,CDMX,2024-07-02,Activo
SOC-2435,68,Masculino,Querétaro,2024-06-14,Activo
SOC-2436,19,Masculino,Monterrey,2024-01-27,Activo
SOC-2437,26,Otro,Puebla,2024-09-26,Activo
SOC-2438,25,Otro,CDMX,2024-08-31,Inactivo
SOC-2439,46,Femenino,Querétaro,2024-10-30,Activo
SOC-2440,24,Femenino,Querétaro,2024-04-23,Activo
SOC-2441,57,Masculino,Mérida,2025-02-05,Activo
SOC-2442,60,Otro,Monterrey,2024-08-22,Cancelado
SOC-2443,59,Masculino,CDMX,2024-09-02,Activo
SOC-2444,43,Femenino,Mérida,2024-02-25,Activo
SOC-2445,49,Otro,Puebla,2024-02-07,Inactivo
SOC-2446,23,Femenino,Querétaro,2024-03-16,Cancelado
SOC-2447,22,Masculino,Monterrey,2024-11-15,Cancelado
SOC-2448,58,Otro,Querétaro,2024-12-30,Inactivo
SOC-2449,38,Femenino,Querétaro,2024-09-28,Activo
SOC-2450,36,Femenino,Querétaro,2024-11-05,Activo
